week,CITY,precipitation_avg,precipitation_max
201201,Angra Dos Reis,3.6474,14.3851
201201,Aperibé,2.329,10.4002
201201,Araruama,2.3928,10.1437
201201,Areal,3.1522,11.9961
201201,Armação Dos Búzios,2.1542,9.7346
201201,Arraial Do Cabo,2.1461,9.6807
201201,Barra Do Piraí,3.4617,13.2324
201201,Barra Mansa,3.6158,13.8026
201201,Belford Roxo,3.1803,12.6249
201201,Bom Jardim,2.5779,10.6891
201201,Bom Jesus Do Itabapoana,2.2668,10.1694
201201,Cabo Frio,2.1709,9.7422
201201,Cachoeiras De Macacu,2.7377,10.8442
201201,Cambuci,2.206,10.1409
201201,Campos Dos Goytacazes,2.1392,9.6236
201201,Cantagalo,2.5502,10.7179
201201,Carapebus,2.1592,9.8091
201201,Cardoso Moreira,2.1813,9.8962
201201,Carmo,2.7707,11.2198
201201,Casimiro De Abreu,2.3856,10.2502
201201,Comendador Levy Gasparian,3.1607,12.1226
201201,Conceição De Macabu,2.2268,9.9673
201201,Cordeiro,2.5457,10.6869
201201,Duas Barras,2.6721,10.9276
201201,Duque De Caxias,3.1032,12.3483
201201,Engenheiro Paulo De Frontin,3.3794,12.9974
201201,Guapimirim,3.0765,11.6624
201201,Iguaba Grande,2.3144,10.0276
201201,Itaboraí,2.8155,11.0306
201201,Itaguaí,3.2901,12.9096
201201,Italva,2.2023,10.0025
201201,Itaocara,2.3107,10.3451
201201,Itaperuna,2.3055,10.3118
201201,Itatiaia,3.7715,13.9817
201201,Japeri,3.3294,12.9065
201201,Laje Do Muriaé,2.4172,10.5921
201201,Macaé,2.1742,9.7818
201201,Macuco,2.461,10.5275
201201,Magé,3.0283,11.6989
201201,Mangaratiba,3.4731,13.6967
201201,Maricá,2.6867,10.7157
201201,Mendes,3.4034,13.0591
201201,Mesquita,3.1916,12.6642
201201,Miguel Pereira,3.3449,12.8121
201201,Miracema,2.4189,10.606
201201,Natividade,2.383,10.4897
201201,Nilópolis,3.1601,12.6198
201201,Niterói,2.8142,11.2369
201201,Nova Friburgo,2.646,10.7375
201201,Nova Iguaçu,3.205,12.6901
201201,Paracambi,3.3692,13.0151
201201,Paraíba Do Sul,3.2325,12.3204
201201,Paraty,3.8075,14.9121
201201,Paty Do Alferes,3.3369,12.7553
201201,Petrópolis,3.2299,12.3358
201201,Pinheiral,3.5499,13.6061
201201,Piraí,3.4797,13.4635
201201,Porciúncula,2.4275,10.5919
201201,Porto Real,3.6375,13.643
201201,Quatis,3.6294,13.6233
201201,Queimados,3.2594,12.7635
201201,Quissamã,2.1303,9.7892
201201,Resende,3.6707,13.6493
201201,Rio Bonito,2.654,10.6233
201201,Rio Claro,3.5996,13.984
201201,Rio Das Flores,3.3641,12.7432
201201,Rio Das Ostras,2.2207,9.8735
201201,Rio De Janeiro,2.9277,11.7587
201201,Santa Maria Madalena,2.2921,10.1717
201201,Santo Antônio De Pádua,2.3892,10.5366
201201,São Fidélis,2.1823,9.9621
201201,São Francisco De Itabapoana,2.1404,9.7823
201201,São Gonçalo,2.8587,11.2991
201201,São João Da Barra,2.1213,9.7865
201201,São João De Meriti,3.1352,12.5207
201201,São José De Ubá,2.2816,10.2902
201201,São José Do Vale Do Rio Preto,3.0018,11.5882
201201,São Pedro Da Aldeia,2.2322,9.8686
201201,São Sebastião Do Alto,2.366,10.3406
201201,Sapucaia,2.9759,11.6134
201201,Saquarema,2.4883,10.2345
201201,Seropédica,3.2951,12.8333
201201,Silva Jardim,2.4993,10.5166
201201,Sumidouro,2.8062,11.2017
201201,Tanguá,2.7171,10.7431
201201,Teresópolis,3.0944,11.6669
201201,Trajano De Moraes,2.32,10.1947
201201,Três Rios,3.1729,12.1406
201201,Valença,3.4171,12.9235
201201,Varre-Sai,2.3685,10.4378
