week,CITY,precipitation_avg,precipitation_max
201201,Angra Dos Reis,3.2739,13.8127
201201,Aperibé,2.0896,9.933
201201,Araruama,2.1605,9.6863
201201,Areal,3.1509,12.1689
201201,Armação Dos Búzios,1.9683,9.3118
201201,Arraial Do Cabo,1.9583,9.2242
201201,Barra Do Piraí,3.4311,13.2928
201201,Barra Mansa,3.5888,13.9347
201201,Belford Roxo,2.8277,12.0474
201201,Bom Jardim,2.9163,11.2636
201201,Bom Jesus Do Itabapoana,2.1124,9.8336
201201,Cabo Frio,1.978,9.2979
201201,Cachoeiras De Macacu,2.4624,10.4682
201201,Cambuci,1.9947,9.69
201201,Campos Dos Goytacazes,1.9845,9.2573
201201,Cantagalo,2.6564,10.8855
201201,Carapebus,1.9734,9.4063
201201,Cardoso Moreira,1.9804,9.464
201201,Carmo,2.7351,11.1917
201201,Casimiro De Abreu,2.1069,9.7701
201201,Comendador Levy Gasparian,2.9755,12.008
201201,Conceição De Macabu,2.0468,9.6017
201201,Cordeiro,2.7766,11.0638
201201,Duas Barras,2.9411,11.3991
201201,Duque De Caxias,2.7552,11.7675
201201,Engenheiro Paulo De Frontin,3.6096,13.4455
201201,Guapimirim,2.5936,11.0188
201201,Iguaba Grande,2.0845,9.5648
201201,Itaboraí,2.4856,10.5053
201201,Itaguaí,2.9384,12.3276
201201,Italva,2.0024,9.5752
201201,Itaocara,2.0783,9.8879
201201,Itaperuna,2.1568,9.9935
201201,Itatiaia,3.6692,14.0326
201201,Japeri,2.9432,12.3072
201201,Laje Do Muriaé,2.3458,10.4292
201201,Macaé,1.9766,9.3742
201201,Macuco,2.432,10.4555
201201,Magé,2.5963,11.0547
201201,Mangaratiba,3.1064,13.1202
201201,Maricá,2.3963,10.1861
201201,Mendes,3.525,13.3394
201201,Mesquita,2.8426,12.0918
201201,Miguel Pereira,3.6884,13.4461
201201,Miracema,2.2557,10.2896
201201,Natividade,2.2911,10.286
201201,Nilópolis,2.8221,12.0561
201201,Niterói,2.6587,10.9274
201201,Nova Friburgo,3.2933,11.8565
201201,Nova Iguaçu,2.8695,12.1415
201201,Paracambi,2.9949,12.4527
201201,Paraíba Do Sul,3.0265,12.1559
201201,Paraty,3.4398,14.3984
201201,Paty Do Alferes,3.5962,13.2532
201201,Petrópolis,3.8025,13.3734
201201,Pinheiral,3.5131,13.6954
201201,Piraí,3.5068,13.611
201201,Porciúncula,2.3322,10.3947
201201,Porto Real,3.5639,13.7334
201201,Quatis,3.578,13.7473
201201,Queimados,2.906,12.1951
201201,Quissamã,1.9628,9.3936
201201,Resende,3.6056,13.7721
201201,Rio Bonito,2.3912,10.1956
201201,Rio Claro,3.7206,14.3102
201201,Rio Das Flores,3.5203,13.1427
201201,Rio Das Ostras,2.0006,9.4372
201201,Rio De Janeiro,2.6249,11.2093
201201,Santa Maria Madalena,3.1072,11.4481
201201,Santo Antônio De Pádua,2.2143,10.1918
201201,São Fidélis,1.9802,9.5268
201201,São Francisco De Itabapoana,1.9855,9.4045
201201,São Gonçalo,2.5498,10.7687
201201,São João Da Barra,1.9723,9.4036
201201,São João De Meriti,2.7938,11.9504
