date,week,start_date,end_date
2012-01-01,201201,2012-01-01,2012-01-07
2012-01-08,201202,2012-01-08,2012-01-14
2012-01-15,201203,2012-01-15,2012-01-21
2012-01-22,201204,2012-01-22,2012-01-28
2012-01-29,201205,2012-01-29,2012-02-04
2012-02-05,201206,2012-02-05,2012-02-11
2012-02-12,201207,2012-02-12,2012-02-18
2012-02-19,201208,2012-02-19,2012-02-25
2012-02-26,201209,2012-02-26,2012-03-03
2012-03-04,201210,2012-03-04,2012-03-10
2012-03-11,201211,2012-03-11,2012-03-17
2012-03-18,201212,2012-03-18,2012-03-24
2012-03-25,201213,2012-03-25,2012-03-31
2012-04-01,201214,2012-04-01,2012-04-07
2012-04-08,201215,2012-04-08,2012-04-14
2012-04-15,201216,2012-04-15,2012-04-21
2012-04-22,201217,2012-04-22,2012-04-28
2012-04-29,201218,2012-04-29,2012-05-05
2012-05-06,201219,2012-05-06,2012-05-12
2012-05-13,201220,2012-05-13,2012-05-19
2012-05-20,201221,2012-05-20,2012-05-26
2012-05-27,201222,2012-05-27,2012-06-02
2012-06-03,201223,2012-06-03,2012-06-09
2012-06-10,201224,2012-06-10,2012-06-16
2012-06-17,201225,2012-06-17,2012-06-23
2012-06-24,201226,2012-06-24,2012-06-30
2012-07-01,201227,2012-07-01,2012-07-07
2012-07-08,201228,2012-07-08,2012-07-14
2012-07-15,201229,2012-07-15,2012-07-21
2012-07-22,201230,2012-07-22,2012-07-28
2012-07-29,201231,2012-07-29,2012-08-04
2012-08-05,201232,2012-08-05,2012-08-11
2012-08-12,201233,2012-08-12,2012-08-18
2012-08-19,201234,2012-08-19,2012-08-25
2012-08-26,201235,2012-08-26,2012-09-01
2012-09-02,201236,2012-09-02,2012-09-08
2012-09-09,201237,2012-09-09,2012-09-15
2012-09-16,201238,2012-09-16,2012-09-22
2012-09-23,201239,2012-09-23,2012-09-29
2012-09-30,201240,2012-09-30,2012-10-06
2012-10-07,201241,2012-10-07,2012-10-13
2012-10-14,201242,2012-10-14,2012-10-20
2012-10-21,201243,2012-10-21,2012-10-27
2012-10-28,201244,2012-10-28,2012-11-03
2012-11-04,201245,2012-11-04,2012-11-10
2012-11-11,201246,2012-11-11,2012-11-17
2012-11-18,201247,2012-11-18,2012-11-24
2012-11-25,201248,2012-11-25,2012-12-01
2012-12-02,201249,2012-12-02,2012-12-08
2012-12-09,201250,2012-12-09,2012-12-15
2012-12-16,201251,2012-12-16,2012-12-22
2012-12-23,201252,2012-12-23,2012-12-29
2012-12-30,201301,2012-12-30,2013-01-05
2013-01-06,201302,2013-01-06,2013-01-12
2013-01-13,201303,2013-01-13,2013-01-19
2013-01-20,201304,2013-01-20,2013-01-26
2013-01-27,201305,2013-01-27,2013-02-02
2013-02-03,201306,2013-02-03,2013-02-09
2013-02-10,201307,2013-02-10,2013-02-16
2013-02-17,201308,2013-02-17,2013-02-23
