week,precipitation_avg,precipitation_max,CITY
201201,5.2038,18.7979,Angra Dos Reis
201202,3.9114,16.8583,Angra Dos Reis
201203,1.7556,3.1368,Angra Dos Reis
201204,1.4138,5.2767,Angra Dos Reis
201205,2.0057,7.8749,Angra Dos Reis
201206,3.8228,26.0478,Angra Dos Reis
201207,4.092,29.011,Angra Dos Reis
201208,0.4783,3.2643,Angra Dos Reis
201209,0.8171,3.8703,Angra Dos Reis
201210,0.6647,3.8741,Angra Dos Reis
201211,2.7773,11.9097,Angra Dos Reis
201212,2.8026,12.699,Angra Dos Reis
201213,2.5215,12.4287,Angra Dos Reis
201214,1.2065,6.5275,Angra Dos Reis
201215,0.5772,3.0044,Angra Dos Reis
201216,1.7162,8.8836,Angra Dos Reis
201217,1.0783,5.489,Angra Dos Reis
201218,2.3692,8.7449,Angra Dos Reis
201219,0.2357,1.1859,Angra Dos Reis
201220,2.314,8.3648,Angra Dos Reis
201221,0.135,0.5938,Angra Dos Reis
201222,1.43,7.8864,Angra Dos Reis
201223,1.5076,9.7388,Angra Dos Reis
201224,1.0658,6.1929,Angra Dos Reis
201225,1.4125,5.9575,Angra Dos Reis
201226,0.2838,1.6372,Angra Dos Reis
201227,0.0388,0.0579,Angra Dos Reis
201228,1.0306,5.482,Angra Dos Reis
201229,0.8604,3.4617,Angra Dos Reis
201230,0.0787,0.374,Angra Dos Reis
201231,0.2089,1.2506,Angra Dos Reis
201232,0.91,4.7977,Angra Dos Reis
201233,0.159,0.6998,Angra Dos Reis
201234,0.0068,0.0749,Angra Dos Reis
201235,0.4809,2.704,Angra Dos Reis
201236,0.3354,2.1625,Angra Dos Reis
201237,0.3796,2.2864,Angra Dos Reis
201238,1.7309,9.2385,Angra Dos Reis
201239,1.6211,7.4944,Angra Dos Reis
201240,0.0093,0.0422,Angra Dos Reis
201241,1.5265,6.2769,Angra Dos Reis
201242,1.2281,4.0188,Angra Dos Reis
201243,2.3436,8.0259,Angra Dos Reis
201244,0.4498,1.8582,Angra Dos Reis
201245,0.841,2.8047,Angra Dos Reis
201246,2.9492,10.2234,Angra Dos Reis
201247,1.2906,7.5575,Angra Dos Reis
