week,precipitation_avg,precipitation_max,CITY
201201,5.6804,18.3375,Angra Dos Reis
201202,4.0716,16.5375,Angra Dos Reis
201203,2.0555,5.05,Angra Dos Reis
201204,1.5416,5.7059,Angra Dos Reis
201205,2.8204,9.3826,Angra Dos Reis
201206,3.817,25.983,Angra Dos Reis
201207,4.0861,29.4086,Angra Dos Reis
201208,0.5962,4.0133,Angra Dos Reis
201209,0.8143,3.8456,Angra Dos Reis
201210,1.1867,5.3867,Angra Dos Reis
201211,4.1758,15.3196,Angra Dos Reis
201212,3.8097,15.0827,Angra Dos Reis
201213,2.5173,12.4989,Angra Dos Reis
201214,2.7552,14.1,Angra Dos Reis
201215,0.8143,4.0625,Angra Dos Reis
201216,2.0607,9.6125,Angra Dos Reis
201217,1.1071,5.325,Angra Dos Reis
201218,2.7696,9.0424,Angra Dos Reis
201219,0.2552,1.1306,Angra Dos Reis
201220,2.2056,7.6125,Angra Dos Reis
201221,0.1786,0.7875,Angra Dos Reis
201222,1.3058,7.13,Angra Dos Reis
201223,1.4525,8.1375,Angra Dos Reis
201224,1.1097,6.5838,Angra Dos Reis
201225,1.9078,9.5582,Angra Dos Reis
201226,0.2457,1.28,Angra Dos Reis
201227,0.0597,0.093,Angra Dos Reis
201228,1.4321,6.35,Angra Dos Reis
201229,0.8411,3.575,Angra Dos Reis
201230,0.0929,0.4,Angra Dos Reis
201231,0.1882,1.0958,Angra Dos Reis
201232,1.1143,5.425,Angra Dos Reis
201233,0.1707,0.7626,Angra Dos Reis
201234,0.0,0.0431,Angra Dos Reis
201235,0.6554,3.25,Angra Dos Reis
201236,0.3482,2.2375,Angra Dos Reis
201237,0.38,2.2363,Angra Dos Reis
201238,1.7214,8.525,Angra Dos Reis
201239,1.7304,8.6375,Angra Dos Reis
201240,0.0179,0.0625,Angra Dos Reis
201241,1.7051,7.3375,Angra Dos Reis
201242,1.2269,4.0381,Angra Dos Reis
201243,2.4523,9.2277,Angra Dos Reis
201244,0.5189,1.9323,Angra Dos Reis
201245,1.3179,4.0125,Angra Dos Reis
201246,3.1602,10.7394,Angra Dos Reis
201247,1.4076,8.0133,Angra Dos Reis
201248,3.2289,12.9333,Angra Dos Reis
201249,1.8629,8.8133,Angra Dos Reis
201250,3.3869,12.5519,Angra Dos Reis
201251,2.3464,10.275,Angra Dos Reis
201252,0.9637,5.0625,Angra Dos Reis
201301,3.7389,13.7234,Angra Dos Reis
201302,2.6549,9.898,Angra Dos Reis
201303,5.7267,21.5101,Angra Dos Reis
201304,3.6834,13.3283,Angra Dos Reis
201305,3.4568,1.7894,Angra Dos Reis
201306,3.8667,11.7636,Angra Dos Reis
201307,0.1571,0.5429,Angra Dos Reis
201308,0.4306,1.9857,Angra Dos Reis
201309,3.2204,10.9625,Angra Dos Reis
201310,4.5045,18.9897,Angra Dos Reis
201311,3.7498,15.3722,Angra Dos Reis
201312,5.2089,20.0312,Angra Dos Reis
201313,3.4205,11.55,Angra Dos Reis
201314,2.5207,12.3094,Angra Dos Reis
201315,1.795,8.0429,Angra Dos Reis
201316,0.8844,4.7219,Angra Dos Reis
201317,0.3933,1.4821,Angra Dos Reis
201318,0.154,0.2469,Angra Dos Reis
201319,0.571,2.6594,Angra Dos Reis
201320,1.2679,7.6375,Angra Dos Reis
201321,1.5185,6.1518,Angra Dos Reis
201322,1.36,5.719,Angra Dos Reis
201323,1.7469,7.5594,Angra Dos Reis
201324,0.6132,3.7664,Angra Dos Reis
201325,0.1844,0.4719,Angra Dos Reis
201326,0.5558,2.4844,Angra Dos Reis
201327,1.3924,7.2094,Angra Dos Reis
201328,0.7786,3.7124,Angra Dos Reis
201329,1.3339,6.325,Angra Dos Reis
201330,1.8624,7.2098,Angra Dos Reis
201331,0.0518,0.1341,Angra Dos Reis
201332,0.0273,0.1313,Angra Dos Reis
201333,0.4133,2.1467,Angra Dos Reis
201334,0.4659,2.3908,Angra Dos Reis
201335,0.0439,0.1826,Angra Dos Reis
201336,1.1771,4.9867,Angra Dos Reis
201337,0.0819,0.2409,Angra Dos Reis
201338,0.3414,1.7478,Angra Dos Reis
201339,0.9235,3.8458,Angra Dos Reis
201340,2.8063,8.292,Angra Dos Reis
201341,0.3982,1.6625,Angra Dos Reis
201342,3.4929,11.875,Angra Dos Reis
201343,1.2414,4.25,Angra Dos Reis
201344,0.6234,2.8139,Angra Dos Reis
201345,1.3632,4.5929,Angra Dos Reis
201346,0.6429,3.9375,Angra Dos Reis
201347,4.7619,17.5235,Angra Dos Reis
201348,4.1893,14.9,Angra Dos Reis
201349,4.0676,23.1875,Angra Dos Reis
201350,3.8687,10.1022,Angra Dos Reis
201351,0.6963,3.3546,Angra Dos Reis
201352,2.0914,8.5867,Angra Dos Reis
201401,4.0546,18.7395,Angra Dos Reis
201402,1.725,7.063,Angra Dos Reis
201403,5.5987,22.3904,Angra Dos Reis
201404,1.0476,3.8533,Angra Dos Reis
201405,0.1505,1.0,Angra Dos Reis
201406,0.0229,0.1067,Angra Dos Reis
201407,7.0662,47.4537,Angra Dos Reis
201408,2.5013,9.6375,Angra Dos Reis
201409,1.3625,6.6,Angra Dos Reis
201410,8.6449,38.1252,Angra Dos Reis
201411,0.3821,2.4375,Angra Dos Reis
201412,3.0912,13.1022,Angra Dos Reis
201413,2.2173,10.2746,Angra Dos Reis
201414,2.3768,8.6625,Angra Dos Reis
201415,0.0,0.0185,Angra Dos Reis
201416,2.1975,6.7317,Angra Dos Reis
201417,2.6266,12.1123,Angra Dos Reis
201418,0.9989,3.9986,Angra Dos Reis
201419,1.425,7.6625,Angra Dos Reis
201420,0.5357,2.8625,Angra Dos Reis
201421,0.8268,4.5875,Angra Dos Reis
201422,1.2167,5.6625,Angra Dos Reis
201423,0.4114,2.1067,Angra Dos Reis
201424,1.0248,4.76,Angra Dos Reis
201425,1.3252,6.88,Angra Dos Reis
201426,0.3604,2.526,Angra Dos Reis
201427,0.2694,1.5571,Angra Dos Reis
201428,3.4898,12.0436,Angra Dos Reis
201429,0.4185,2.1429,Angra Dos Reis
201430,0.5095,2.1875,Angra Dos Reis
201431,0.9714,4.6625,Angra Dos Reis
201432,0.6196,3.5875,Angra Dos Reis
201433,0.6821,3.3875,Angra Dos Reis
201434,0.3216,1.9167,Angra Dos Reis
201435,0.7268,4.1875,Angra Dos Reis
201436,1.0785,3.8375,Angra Dos Reis
201437,0.0161,0.0397,Angra Dos Reis
201438,1.0284,5.6968,Angra Dos Reis
201439,1.2692,5.6125,Angra Dos Reis
201440,2.4393,12.1829,Angra Dos Reis
201441,0.0536,0.3739,Angra Dos Reis
201442,0.0375,0.2,Angra Dos Reis
201443,1.4893,7.7375,Angra Dos Reis
201444,3.9214,17.6156,Angra Dos Reis
201445,1.6196,8.4125,Angra Dos Reis
201446,3.2363,10.4738,Angra Dos Reis
201447,0.7043,3.5989,Angra Dos Reis
201448,2.5905,9.9365,Angra Dos Reis
201449,2.7194,14.1973,Angra Dos Reis
201450,1.2218,4.4625,Angra Dos Reis
201451,1.6964,7.1876,Angra Dos Reis
201452,1.7643,8.125,Angra Dos Reis
201453,2.7046,12.3375,Angra Dos Reis
201501,4.1727,19.3215,Angra Dos Reis
201502,0.0133,0.0294,Angra Dos Reis
201503,2.3795,7.8933,Angra Dos Reis
201504,5.3868,15.2133,Angra Dos Reis
201505,6.5072,15.3095,Angra Dos Reis
201506,2.0797,7.3628,Angra Dos Reis
201507,4.3743,17.8095,Angra Dos Reis
201508,1.622,12.5001,Angra Dos Reis
201509,2.5797,8.0955,Angra Dos Reis
201510,4.4359,23.8069,Angra Dos Reis
201511,3.0651,13.3432,Angra Dos Reis
201512,3.1461,14.9965,Angra Dos Reis
201513,3.821,16.36,Angra Dos Reis
201514,1.8724,8.0533,Angra Dos Reis
201515,1.0305,5.4533,Angra Dos Reis
201516,1.9487,8.9067,Angra Dos Reis
201517,1.4019,6.5375,Angra Dos Reis
201518,1.8133,7.5867,Angra Dos Reis
201519,1.2862,4.5069,Angra Dos Reis
201520,0.1158,0.3761,Angra Dos Reis
201521,0.8057,4.92,Angra Dos Reis
201522,0.5771,2.6933,Angra Dos Reis
201523,0.1035,0.3467,Angra Dos Reis
201524,1.699,6.1713,Angra Dos Reis
201525,1.0964,5.1875,Angra Dos Reis
201526,0.2686,1.35,Angra Dos Reis
201527,0.1546,0.9756,Angra Dos Reis
201528,0.0302,0.125,Angra Dos Reis
201529,0.6589,2.85,Angra Dos Reis
201530,0.3321,1.9,Angra Dos Reis
201531,0.0268,0.0625,Angra Dos Reis
201532,0.0039,0.0545,Angra Dos Reis
201533,0.1972,1.2596,Angra Dos Reis
201534,0.7439,3.6237,Angra Dos Reis
201535,0.7061,2.8222,Angra Dos Reis
201536,2.4159,7.2333,Angra Dos Reis
201537,0.9317,5.2556,Angra Dos Reis
201538,0.3475,2.4342,Angra Dos Reis
201539,0.9333,4.6889,Angra Dos Reis
201540,0.546,2.8222,Angra Dos Reis
201541,0.037,0.2118,Angra Dos Reis
201542,0.9027,3.5647,Angra Dos Reis
201543,0.0,0.0,Angra Dos Reis
201544,3.9978,11.6464,Angra Dos Reis
201545,0.6109,3.8767,Angra Dos Reis
201546,3.5444,14.3111,Angra Dos Reis
201547,2.3333,9.6111,Angra Dos Reis
201548,5.0216,16.184,Angra Dos Reis
201549,2.9996,12.1556,Angra Dos Reis
201550,4.8703,23.8948,Angra Dos Reis
201551,1.3754,7.2824,Angra Dos Reis
201552,5.0249,21.9885,Angra Dos Reis
201601,1.7085,8.6959,Angra Dos Reis
201602,7.849,20.5035,Angra Dos Reis
201603,1.6213,5.4416,Angra Dos Reis
201604,2.6672,14.5765,Angra Dos Reis
201605,0.1515,0.925,Angra Dos Reis
201606,3.5098,16.8813,Angra Dos Reis
201607,6.0247,22.2875,Angra Dos Reis
201608,6.6461,20.5016,Angra Dos Reis
201609,4.0598,17.15,Angra Dos Reis
201610,4.0071,21.825,Angra Dos Reis
201611,3.9951,18.9891,Angra Dos Reis
201612,4.1027,12.0941,Angra Dos Reis
201613,1.4378,6.8235,Angra Dos Reis
201614,0.0454,0.2412,Angra Dos Reis
201615,0.123,0.7389,Angra Dos Reis
201616,0.019,0.0722,Angra Dos Reis
201617,0.7552,3.0333,Angra Dos Reis
201618,0.025,0.1989,Angra Dos Reis
201619,1.0086,4.4901,Angra Dos Reis
201620,1.2923,5.6056,Angra Dos Reis
201621,0.764,3.8312,Angra Dos Reis
201622,2.0357,6.9193,Angra Dos Reis
201623,3.3217,12.41,Angra Dos Reis
201624,0.0385,0.1419,Angra Dos Reis
201625,0.5357,2.25,Angra Dos Reis
201626,0.1122,0.6168,Angra Dos Reis
201627,0.0225,0.1235,Angra Dos Reis
201628,0.0209,0.0796,Angra Dos Reis
201629,0.1643,0.58,Angra Dos Reis
201630,0.1761,1.48,Angra Dos Reis
201631,0.3714,2.13,Angra Dos Reis
201632,0.3086,1.64,Angra Dos Reis
201633,0.48,2.36,Angra Dos Reis
